Rank;StateName;Population;State;Equivalent_Country;StateLink;CountryLink;Lat;Lon;Flag
1; São Paulo;46289333;SP; Espanha (46 439 864);https://pt.wikipedia.org/wiki/S%C3%A3o_Paulo_(estado);https://pt.wikipedia.org/wiki/Espanha;-23,55;-46,64;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_estado_de_S%C3%A3o_Paulo.svg
2; Minas Gerais;21331292;MG; Sri Lanka (20 675 000);https://pt.wikipedia.org/wiki/Minas_Gerais;https://pt.wikipedia.org/wiki/Sri_Lanka;-18,1;-44,38;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_de_Minas_Gerais.svg
3; Rio de Janeiro;17366189;RJ; Países Baixos (16 922 900);https://pt.wikipedia.org/wiki/Rio_de_Janeiro_(estado);https://pt.wikipedia.org/wiki/Pa%C3%ADses_Baixos;-22,84;-43,15;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_estado_do_Rio_de_Janeiro.svg
4; Bahia;14930634;BA; Chade (14 037 000);https://pt.wikipedia.org/wiki/Bahia;https://pt.wikipedia.org/wiki/Chade;-12,96;-38,51;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_da_Bahia.svg
5; Paraná;11516840;PR; Bolívia (11 410 651);https://pt.wikipedia.org/wiki/Paran%C3%A1;https://pt.wikipedia.org/wiki/Bol%C3%ADvia;-24,89;-51,55;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Paran%C3%A1.svg
6; Rio Grande do Sul;11422973;RS; Bélgica (11 250 659);https://pt.wikipedia.org/wiki/Rio_Grande_do_Sul;https://pt.wikipedia.org/wiki/B%C3%A9lgica;-30,01;-51,22;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Rio_Grande_do_Sul.svg
7; Pernambuco;9616621;PE; Bielorrússia (9 485 300);https://pt.wikipedia.org/wiki/Pernambuco;https://pt.wikipedia.org/wiki/Bielorr%C3%BAssia;-8,28;-35,07;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_de_Pernambuco.svg
8; Ceará;9187103;CE; Emirados Árabes Unidos (9 157 000);https://pt.wikipedia.org/wiki/Cear%C3%A1;https://pt.wikipedia.org/wiki/Emirados_%C3%81rabes_Unidos;-3,71;-38,54;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Cear%C3%A1.svg
9; Pará;8690745;PA; Áustria (8 602 112);https://pt.wikipedia.org/wiki/Par%C3%A1;https://pt.wikipedia.org/wiki/%C3%81ustria;-5,53;-52,29;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Par%C3%A1.svg
10; Santa Catarina;7279638;SC; Sérvia (7 114 393);https://pt.wikipedia.org/wiki/Santa_Catarina;https://pt.wikipedia.org/wiki/S%C3%A9rvia;-27,33;-49,44;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_de_Santa_Catarina.svg
12; Goiás;7142070;GO; Paraguai (7 003 406);https://pt.wikipedia.org/wiki/Goi%C3%A1s;https://pt.wikipedia.org/wiki/Paraguai;-16,64;-49,31;https://pt.wikipedia.org/wiki/Ficheiro:Flag_of_Goi%C3%A1s.svg
11; Maranhão;7127460;MA; Paraguai (7 003 406);https://pt.wikipedia.org/wiki/Maranh%C3%A3o;https://pt.wikipedia.org/wiki/Paraguai;-2,55;-44,3;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Maranh%C3%A3o.svg
13; Amazonas;4228381;AM; Líbano (4 168 000);https://pt.wikipedia.org/wiki/Amazonas;https://pt.wikipedia.org/wiki/L%C3%ADbano;-3,07;-61,66;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Amazonas.svg
14; Espírito Santo;4064052;ES; Líbano (4 168 000);https://pt.wikipedia.org/wiki/Esp%C3%ADrito_Santo_(estado);https://pt.wikipedia.org/wiki/L%C3%ADbano;-19,19;-40,34;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Esp%C3%ADrito_Santo.svg
15; Paraíba;4039277;PB; Líbano (4 168 000);https://pt.wikipedia.org/wiki/Para%C3%ADba;https://pt.wikipedia.org/wiki/L%C3%ADbano;-7,06;-35,55;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_da_Para%C3%ADba.svg
16; Rio Grande do Norte;3534165;RN; Uruguai (3 415 866);https://pt.wikipedia.org/wiki/Rio_Grande_do_Norte;https://pt.wikipedia.org/wiki/Uruguai;-5,22;-36,52;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Rio_Grande_do_Norte.svg
17; Mato Grosso;3526220;MT; Uruguai (3 415 866);https://pt.wikipedia.org/wiki/Mato_Grosso;https://pt.wikipedia.org/wiki/Uruguai;-12,64;-55,42;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_de_Mato_Grosso.svg
18; Alagoas;3351543;AL; Uruguai (3 415 866);https://pt.wikipedia.org/wiki/Alagoas;https://pt.wikipedia.org/wiki/Uruguai;-9,71;-35,73;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_de_Alagoas.svg
19; Piauí;3281480;PI; Kuwait (3 268 431);https://pt.wikipedia.org/wiki/Piau%C3%AD;https://pt.wikipedia.org/wiki/Kuwait;-8,28;-43,68;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Piau%C3%AD.svg
20; Distrito Federal;3055149;DF; Lituânia (2 900 787);https://pt.wikipedia.org/wiki/Distrito_Federal_(Brasil);https://pt.wikipedia.org/wiki/Litu%C3%A2nia;-15,83;-47,86;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Distrito_Federal_(Brasil).svg
21; Mato Grosso do Sul;2809394;MS; Jamaica (2 717 991);https://pt.wikipedia.org/wiki/Mato_Grosso_do_Sul;https://pt.wikipedia.org/wiki/Jamaica;-20,51;-54,54;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_de_Mato_Grosso_do_Sul.svg
22; Sergipe;2318822;SE; Namíbia (2 280 700);https://pt.wikipedia.org/wiki/Sergipe;https://pt.wikipedia.org/wiki/Nam%C3%ADbia;-10,9;-37,07;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_de_Sergipe.svg
23; Rondônia;1796460;RO; Gabão (1 725 000);https://pt.wikipedia.org/wiki/Rond%C3%B4nia;https://pt.wikipedia.org/wiki/Gab%C3%A3o;-11,22;-62,8;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_de_Rond%C3%B4nia.svg
24; Tocantins;1590248;TO; Bahrein (1 359 800);https://pt.wikipedia.org/wiki/Tocantins;https://pt.wikipedia.org/wiki/Bahrein;-10,25;-48,25;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Tocantins.svg
25; Acre;894470;AC; Fiji (859 178);https://pt.wikipedia.org/wiki/Acre;https://pt.wikipedia.org/wiki/Fiji;-8,77;-70,55;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Acre.svg
26; Amapá;861773;AP; Fiji (859 178);https://pt.wikipedia.org/wiki/Amap%C3%A1;https://pt.wikipedia.org/wiki/Fiji;1,41;-51,77;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_do_Amap%C3%A1.svg
27; Roraima;631181;RR; Luxemburgo (562 958);https://pt.wikipedia.org/wiki/Roraima;https://pt.wikipedia.org/wiki/Luxemburgo;1,89;-61,22;https://pt.wikipedia.org/wiki/Ficheiro:Bandeira_de_Roraima.svg